timestamp,state,x,y
1688627680150,1,-314.8154,275.5493,1
1688627680150,1,-314.8154,275.5493,2
1688627680171,1,-312.5352,276.506,0
1688627680171,1,-312.5352,276.506,1
1688627680171,1,-312.5352,276.506,2
1688627680190,1,-307.6037,280.5246,0
1688627680190,1,-307.6037,280.5246,1
1688627680190,1,-307.6037,280.5246,2
1688627680216,1,-305.7568,281.5129,0
1688627680216,1,-305.7568,281.5129,1
1688627680216,1,-305.7568,281.5129,2
1688627680235,1,-302.1281,279.5538,0
1688627680235,1,-302.1281,279.5538,1
1688627680235,1,-302.1281,279.5538,2
1688627680254,1,-315.6253,262.5578,0
1688627680254,1,-315.6253,262.5578,1
1688627680254,1,-315.6253,262.5578,2
1688627680275,1,-321.0843,258.9557,0
1688627680275,1,-321.0843,258.9557,1
1688627680275,1,-321.0843,258.9557,2
1688627680297,1,-322.229,258.5837,0
1688627680297,1,-322.229,258.5837,1
1688627680297,1,-322.229,258.5837,2
1688627680319,1,-322.1577,259.5674,0
1688627680319,1,-322.1577,259.5674,1
1688627680319,1,-322.1577,259.5674,2
1688627680338,1,-315.3988,260.2357,0
1688627680338,1,-315.3988,260.2357,1
1688627680338,1,-315.3988,260.2357,2
1688627680362,1,-289.5014,268.5859,0
1688627680362,1,-289.5014,268.5859,1
1688627680362,1,-289.5014,268.5859,2
1688627680382,1,-281.5823,265.3208,0
1688627680382,1,-281.5823,265.3208,1
1688627680382,1,-281.5823,265.3208,2
1688627680401,1,-279.6421,257.0095,0
1688627680401,1,-279.6421,257.0095,1
1688627680401,1,-279.6421,257.0095,2
1688627680420,1,-277.4379,256.9905,0
1688627680420,1,-277.4379,256.9905,1
1688627680420,1,-277.4379,256.9905,2
1688627680440,1,-282.4919,256.0269,0
1688627680440,1,-282.4919,256.0269,1
1688627680440,1,-282.4919,256.0269,2
1688627680465,1,-291.28,253.2216,0
1688627680465,1,-291.28,253.2216,1
1688627680465,1,-291.28,253.2216,2
1688627680484,1,-289.4686,252.3108,0
1688627680484,1,-289.4686,252.3108,1
1688627680484,1,-289.4686,252.3108,2
1688627680505,1,-269.2011,253.3185,0
1688627680505,1,-269.2011,253.3185,1
1688627680505,1,-269.2011,253.3185,2
1688627680527,1,-268.6955,253.4348,0
1688627680527,1,-268.6955,253.4348,1
1688627680527,1,-268.6955,253.4348,2
1688627680552,1,-268.6303,254.6838,0
1688627680552,1,-268.6303,254.6838,1
1688627680552,1,-268.6303,254.6838,2
1688627680567,1,-264.2064,252.2381,0
1688627680567,1,-264.2064,252.2381,1
1688627680567,1,-264.2064,252.2381,2
