timestamp,level,x,y,z,pitch,yaw,roll
1695264495521,0,-0.02,0.02,-0.03,5.09,0.69,0.57
1695264495550,0,-0.02,0.02,-0.03,5.03,0.75,0.51
1695264495580,0,-0.02,0.02,-0.03,4.99,0.81,0.49
1695264495610,0,-0.02,0.02,-0.03,4.96,0.88,0.45
1695264495639,0,-0.02,0.02,-0.03,4.94,0.94,0.43
1695264495667,0,-0.02,0.02,-0.03,4.91,0.97,0.42
1695264495695,0,-0.02,0.02,-0.03,4.84,1.02,0.41
1695264495722,0,-0.02,0.02,-0.03,4.76,1.08,0.45
1695264495750,0,-0.02,0.02,-0.03,4.71,1.13,0.50
1695264495778,0,-0.02,0.02,-0.03,4.67,1.16,0.57
1695264495807,0,-0.02,0.02,-0.03,4.63,1.16,0.65
1695264495836,0,-0.02,0.02,-0.03,4.63,1.13,0.68
1695264495867,0,-0.02,0.02,-0.03,4.64,1.06,0.70
1695264495901,0,-0.02,0.02,-0.03,4.63,0.99,0.71
1695264495933,0,-0.02,0.02,-0.03,4.59,0.93,0.71
1695264495966,0,-0.02,0.02,-0.03,4.53,0.90,0.68
1695264495995,0,-0.02,0.02,-0.03,4.49,0.89,0.65
1695264496024,0,-0.02,0.02,-0.03,4.47,0.89,0.63
1695264496054,0,-0.02,0.02,-0.03,4.48,0.89,0.62
1695264496083,0,-0.02,0.02,-0.03,4.53,0.89,0.59
1695264496111,0,-0.02,0.02,-0.03,4.59,0.88,0.56
1695264496138,0,-0.02,0.02,-0.03,4.63,0.88,0.54
1695264496166,0,-0.02,0.02,-0.03,4.66,0.88,0.52
1695264496194,0,-0.02,0.02,-0.03,4.68,0.89,0.53
1695264496222,0,-0.02,0.02,-0.03,4.67,0.89,0.54
1695264496250,0,-0.02,0.02,-0.03,4.69,0.89,0.54
1695264496279,0,-0.02,0.02,-0.03,4.73,0.88,0.55
1695264496310,0,-0.02,0.02,-0.03,4.78,0.87,0.55
1695264496339,0,-0.02,0.02,-0.03,4.82,0.82,0.55
1695264496369,0,-0.02,0.02,-0.02,4.83,0.80,0.54
1695264496399,0,-0.02,0.02,-0.02,4.84,0.76,0.55
1695264496427,0,-0.02,0.02,-0.02,4.85,0.73,0.55
1695264496455,0,-0.02,0.02,-0.02,4.85,0.70,0.58
1695264496484,0,-0.02,0.02,-0.02,4.84,0.67,0.59
1695264496512,0,-0.02,0.02,-0.02,4.83,0.64,0.62
1695264496543,0,-0.02,0.02,-0.02,4.83,0.61,0.64
1695264496572,0,-0.02,0.02,-0.02,4.82,0.59,0.66
1695264496601,0,-0.02,0.02,-0.02,4.80,0.58,0.67
1695264496632,0,-0.02,0.02,-0.03,4.76,0.57,0.69
1695264496660,0,-0.02,0.02,-0.03,4.69,0.58,0.71
1695264496688,0,-0.02,0.02,-0.03,4.64,0.59,0.73
1695264496715,0,-0.02,0.02,-0.03,4.59,0.59,0.76
1695264496744,0,-0.02,0.02,-0.03,4.55,0.57,0.79
1695264496771,0,-0.02,0.02,-0.03,4.54,0.54,0.81
1695264496799,0,-0.02,0.02,-0.03,4.53,0.49,0.84
1695264496827,0,-0.02,0.02,-0.03,4.54,0.45,0.87
1695264496856,0,-0.02,0.02,-0.03,4.56,0.40,0.94
1695264496888,0,-0.02,0.02,-0.03,4.58,0.34,1.03
1695264496917,0,-0.02,0.02,-0.03,4.53,0.20,1.20
1695264496947,0,-0.02,0.02,-0.03,4.39,359.82,1.50
1695264496977,0,-0.03,0.02,-0.03,4.29,359.26,1.79
1695264497005,0,-0.03,0.02,-0.03,4.18,358.64,2.09
1695264497033,0,-0.03,0.02,-0.02,3.97,357.72,2.42
1695264497060,0,-0.03,0.02,-0.02,3.81,356.56,2.65
1695264497088,0,-0.03,0.02,-0.03,3.79,355.45,2.84
1695264497116,0,-0.04,0.02,-0.02,3.80,354.35,3.07
1695264497144,0,-0.04,0.02,-0.02,3.88,353.33,3.31
1695264497171,0,-0.04,0.02,-0.02,4.04,352.45,3.50
1695264497200,0,-0.04,0.02,-0.02,4.20,351.79,3.64
1695264497228,0,-0.04,0.02,-0.02,4.36,351.31,3.72
1695264497257,0,-0.04,0.02,-0.02,4.55,350.93,3.81
1695264497288,0,-0.04,0.02,-0.02,4.65,350.77,3.83
